Fe,C,Cr,Mo,Co,Ni,Nb,W,aus,tem,time,AF,DQ,HRc,UTS,YS,J,El
71.57,0.23,3,1.2,13,11,0,0,1050,475,50,850,0,50.9,1612,1357,73,12.1
71.57,0.23,3,1.2,13,11,0,0,1050,450,0,850,0,56.6,,,48,
71.57,0.23,3,1.2,13,11,0,0,1050,450,1,850,0,55.4,,,35.8,
71.57,0.23,3,1.2,13,11,0,0,1050,450,5,850,0,56.5,,,39.2,
71.57,0.23,3,1.2,13,11,0,0,1050,450,10,850,0,57.4,,,44.1,
71.57,0.23,3,1.2,13,11,0,0,1050,450,20,850,0,57.1,,,44.1,
71.57,0.23,3,1.2,13,11,0,0,1050,450,50,850,0,55.4,,,54.9,
71.57,0.23,3,1.2,13,11,0,0,1050,450,100,850,0,53.9,,,62.2,
71.57,0.23,3,1.2,13,11,0,0,1050,500,0,850,0,56.6,,,48,
71.57,0.23,3,1.2,13,11,0,0,1050,500,5,850,0,53.5,,,70.6,
71.57,0.23,3,1.2,13,11,0,0,1050,525,0,850,0,56.6,,,48,
71.57,0.23,3,1.2,13,11,0,0,1050,475,0,850,0,,2129,1202,,13.4
71.57,0.23,3,1.2,13,11,0,0,1050,475,1,850,0,,1899,1251,,13.1
71.57,0.23,3,1.2,13,11,0,0,1050,475,5,850,0,,1936,1426,,13
71.57,0.23,3,1.2,13,11,0,0,1050,475,10,850,0,,1946,1459,,13.2
71.57,0.23,3,1.2,13,11,0,0,1050,475,20,850,0,,1847,1430,,11.1
71.57,0.23,3,1.2,13,11,0,0,1050,475,50,850,0,,1704,1342,,13.1
71.57,0.23,3,1.2,13,11,0,0,1050,475,0,850,24,,2000,1342,,
71.57,0.23,3,1.2,13,11,0,0,1050,475,1,850,24,,2016,1592,,9.4
71.57,0.23,3,1.2,13,11,0,0,1050,475,5,850,24,,2067,1725,,11.2
71.57,0.23,3,1.2,13,11,0,0,1050,475,10,850,24,,1988,1682,,9.8
71.57,0.23,3,1.2,13,11,0,0,1050,475,20,850,24,,1862,1609,,9.4
71.57,0.23,3,1.2,13,11,0,0,1050,475,50,850,24,,1585,1409,,12.7
71.57,0.23,3,1.2,13,11,0,0,1050,475,0,0,0,,1561,1114,,8.5
71.57,0.23,3,1.2,13,11,0,0,1050,475,1,0,0,,1583,1255,,12
71.57,0.23,3,1.2,13,11,0,0,1050,475,5,0,0,,1469,1194,,7.9
71.57,0.23,3,1.2,13,11,0,0,1050,475,10,0,0,,1406,1272,,10.6
71.57,0.23,3,1.2,13,11,0,0,1050,475,20,0,0,,1407,1216,,10.6
68.57,0.23,3,1.2,13,14,0,0,900,475,0,850,0,54.6,2032,1009,47.5,13.2
68.57,0.23,3,1.2,13,14,0,0,900,475,1,850,0,57.2,2044,1514,44.1,12.8
68.57,0.23,3,1.2,13,14,0,0,900,475,5,850,0,55.8,1937,1481,52.4,11.4
68.57,0.23,3,1.2,13,14,0,0,900,475,10,850,0,54,1856,1435,58.8,10.2
68.57,0.23,3,1.2,13,14,0,0,900,475,20,850,0,52.2,1745,1376,75.7,10.2
68.57,0.23,3,1.2,13,14,0,0,900,475,50,850,0,48.6,1566,1287,79.9,12.9
68.57,0.23,3,1.2,13,14,0,0,900,475,0,850,24,,1915,1254,,12.5
